generation(kWh),power(W)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,67.23007
0.148,710.64185
0.289,885.04407
0.317,1639.1105
0.889,3855.8416
1.276,5331.036
1.044,3278.9917
1.401,5460.783
1.665,6481.362
1.546,5662.2227
1.438,6013.564
1.567,5646.985
1.501,3938.746
3.172,11908.714
3.431,15473.738
4.152,12600.99
5.101,20449.885
5.661,22766.377
4.261,10992.248
4.9,16790.67
2.392,10083.205
3.497,17181.51
3.695,22781.664
4.767,17057.678
1.964,8412.078
3.925,10167.726
4.513,24857.828
3.138,7926.6514
5.084,14346.371
3.653,21698.18
3.254,10679.248
3.848,9273.864
3.578,20119.438
4.237,19208.027
3.234,7550.2925
4.445,19399.76
2.453,7245.4395
2.601,6228.5596
2.781,10291.105
2.953,13605.222
2.675,10879.141
2.505,4434.9976
1.401,5137.7656
1.137,3237.6738
0.891,2995.4004
0.907,1943.5815
0.602,2899.6846
0.274,967.6336
0.295,979.26965
0.213,732.90106
0.149,547.6307
0.089,289.34866
0.021,75.527084
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.02,157.76976
0.194,828.2359
0.387,1902.4368
0.639,2379.0583
0.974,3952.6362
1.139,4790.061
1.766,6682.1113
0.927,3803.6848
1.616,6402.93
1.955,5894.5645
2.78,10213.204
2.845,12880.418
3.31,11305.969
3.496,15100.022
3.709,6224.9956
4.616,19985.643
4.908,21290.828
5.414,22886.873
5.448,19726.32
6.106,20455.502
6.057,26049.207
6.598,26419.465
2.94,12592.42
3.536,17942.332
5.192,23522.564
7.362,30594.213
6.851,14472.564
6.885,28565.588
6.923,29541.877
6.901,28366.771
6.577,21808.475
6.5,27526.902
6.304,26721.809
6.305,24543.564
6.28,24888.342
5.347,21480.246
5.408,22183.373
4.21,15141.726
3.419,11365.109
2.498,12103.762
3.229,13214.132
3.247,12661.938
2.39,11044.662
1.982,9278.095
1.559,5091.641
0.508,1645.2454
0.357,1289.6991
0.457,1627.4934
0.325,1420.7119
0.251,727.59503
0.189,696.7982
0.095,324.58945
0.029,84.50207
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
